Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value	Value
CHEMBL4852554		None	545.63	2	5.1	CN(C)CC1(COc2nc(N3CC4CCC(C3)N4)c3cc(F)c(-c4cc(O)cc5ccccc45)c(F)c3n2)CC1	IC50	='	5.1	nM	8.29			UO_0000065	15.2	0.28	3.19	11.24	0	CHEMBL4837101	Inhibition of recombinant his-tagged KRAS G12D mutant (unknown origin) expressed in Escherichia coli BL21(DE3) assessed as inhibition of GDP-GTP exchange rate in presence of recombinant SOS1/GMPPNP incubated for 1 hr by BODIPY fluorescence assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4834492	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		5.1
CHEMBL4857719		None	593.08	2	5.43	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)c(F)ccc2c1	IC50	='	0.5	nM	9.3			UO_0000065	15.68	0.3	3.87	10.74	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.5
CHEMBL4081818		None	2545.06	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C)NC1=O	IC50	='	6.3	nM	8.2			UO_0000065	3.22	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				6.3
CHEMBL4089137		None	2656.12	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSC2=C(SC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC1=O)C(=O)NC2=O	IC50	='	90	nM	7.05			UO_0000065	2.65	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				90
CHEMBL4075048		None	2535.02	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	172	nM	6.76			UO_0000065	2.67	None	None	None	0	CHEMBL4021571	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr in presence of DTT by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				172
CHEMBL4063829		None	2468.96	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	192	nM	6.72			UO_0000065	2.72	None	None	None	0	CHEMBL4021571	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr in presence of DTT by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				192
CHEMBL4867851		None	582.66	1	4.76	C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12	IC50	='	0.6	nM	9.22			UO_0000065	15.83	0.29	4.46	10.64	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.6
CHEMBL5418176		None	592.09	2	5.12	Nc1cc2ccccc2c(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)n1	IC50	='	2972	nM	5.53			UO_0000065	9.33	0.18	0.41	5.98	0	CHEMBL5374159	Inhibition of KRAS G12D mutant in human ASPC1 cells assessed as reduction in ERK phosphorylation measured after 4 hrs by HTRF assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 4.0 hr	INHIBITOR		2972
CHEMBL5418176		None	592.09	2	5.12	Nc1cc2ccccc2c(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)n1	IC50	='	12.8	nM	7.89			UO_0000065	13.33	0.26	2.77	8.54	0	CHEMBL5374156	Inhibition of GDP-bound biotinylated-KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as suppression of SOS1-mediated nucleotide exchange by measuring reduction in KRAS G12D mutant-RAF RBD complex formation preincubated for 60 mins followed by SOS1 addition and further incubated for 60 mins and subsequent addition of KRAS G12D mutant-RAF RBD mixture measured after 30 to 60 mins by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 3.0 hr	INHIBITOR		12.8
CHEMBL5431156		None	482.95	0	4.84	N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12	IC50	='	5.32	nM	8.27			UO_0000065	17.13	0.34	3.43	9.11	0	CHEMBL5374156	Inhibition of GDP-bound biotinylated-KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as suppression of SOS1-mediated nucleotide exchange by measuring reduction in KRAS G12D mutant-RAF RBD complex formation preincubated for 60 mins followed by SOS1 addition and further incubated for 60 mins and subsequent addition of KRAS G12D mutant-RAF RBD mixture measured after 30 to 60 mins by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 3.0 hr	INHIBITOR		5.32
