ID;smiles;HTRF_KRASG12V_IC50 mkmol;HTRF_KRASG12D_IC50 mkmol;HTRF_KRASG12W_IC50 mkmol
1;[H]N1C=C(C(=O)C2=CC(O)=CC3=C2C(C#C)=C(F)C=C3)C2=C1C(OCC13CCCN1CCC3)=CC=C2;0.16;0.29;0.62
2;[H]N1C=C(C(=O)C2=CC(O)=CC3=C2C(Cl)=CC=C3)C2=C1C(OCC13CCCN1CCC3)=CC=C2;3.7;5.2;16
3;CN1C=C(C(=O)C2=CC(O)=CC3=C2C(Cl)=CC=C3)C2=C1C(OCC13CCCN1CCC3)=CC=C2;ND;22;ND
4;[H]N1C=C(C(=O)C2=CC(O)=CC3=C2C(C)=CC=C3)C2=C1C(OCC13CCCN1CCC3)=CC=C2;4.3;13;11
5;OC1=CC2=CC=CC(C#C)=C2C(=C1)C(=O)C1=CNC2=C1C=CC=C2OCC12CCCN1CCC2;0.52;ND;1.4
6;CN(C)CCCOC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=CC(C#N)=C12;ND;>100;ND
7;CN(C)CCCOC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=CC(C)=C12;16;53;34
8;CC1=C(C(=O)C2=CC(O)=CC3=CC=C(F)C(C#C)=C23)C2=C(N1)C(OCC13CCCN1CCC3)=CC=C2;0.45;ND;1.7
9;OC1=CC2=C(C(=C1)C(=O)N1CCC3=C(C1)C(OCC14CCCN1CCC4)=CC=C3)C(C#C)=C(F)C=C2;0.15;0.37;0.47
10;OC1=CC2=C(C(=C1)C(=O)N1CCC3=C1C(OCC14CCCN1CCC4)=CC=C3)C(C#C)=C(F)C=C2;1.6;ND;ND
11;CN(C)CCCOC1=CC=CC2=C1NN=C2C(=O)C1=CC(O)=CC2=C1C(C)=CC=C2;ND;54;ND
12;OC1=CC2=C(C(=C1)C(=O)N1CCCC3=C1C=CC=C3OCC13CCCN1CCC3)C(C#C)=C(F)C=C2;>100;ND;ND
13;CN(C(=O)C1=CC(O)=CC2=C1C(C#C)=C(F)C=C2)C1=CC(OCC23CCCN2CCC3)=CC=C1;>100;ND;ND
14;CN(C)CCCOC1=CC=CC(NC(=O)C2=CC(O)=CC3=C2C(C)=CC=C3)=C1F;ND;>100;ND
15;CN(C)CCCOC1=NC=CC(NC(=O)C2=CC(O)=CC3=C2C(C)=CC=C3)=N1;ND;>100;ND
16;CN(C)CCCOC1=CC=CC2=C1C=NC=C2C(=O)C1=C2C(C)=CC=CC2=CC(O)=C1;ND;>100;ND
17;CN(C)CCCCN1C=CC2=CC(=CN=C12)C(=O)C1=C2C(C)=CC=CC2=CC(O)=C1;ND;>100;ND
18;CC1=C2C(=CC=C1)C=C(O)C=C2C(=O)C1=CNC2=C1C=CC=C2OC[C@@]12CCCN1C[C@H](F)C2;5.4;35;40
19;CN1CCCC1CCOC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=CC(C)=C12;ND;>100;ND
20;CN1CCCC1COC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=CC(C)=C12;ND;>100;ND
21;CN(C)CC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;89;ND;ND
22;CN(C)CCOC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=CC(C)=C12;ND;>100;ND
23;C[C@@H]1CCCC[C@H]1OC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;2.6;ND;ND
24;OC1=CC2=CC=C(F)C(C#C)=C2C(=C1)C(=O)C1=CNC2=C1C=CC=C2OCC1CC2CCC(C1)N2;3.5;ND;ND
25;OC1=CC2=CC=C(F)C(C#C)=C2C(=C1)C(=O)C1=CNC2=C1C=CC=C2CN1C2CCC1CCC2;3.3;ND;ND
26;CC(C)C(N)COC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;4.1;ND;ND
27;NC12CC(C1)C2COC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;4.4;ND;ND
28;CC(C)(CN)COC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;1.2;ND;ND
29;NC1=CC=CC(COC2=CC=CC3=C2NC=C3C(=O)C2=CC(O)=CC3=CC=C(F)C(C#C)=C23)=C1;3.9;ND;ND
30;NC1=CC=NC(COC2=CC=CC3=C2NC=C3C(=O)C2=CC(O)=CC3=CC=C(F)C(C#C)=C23)=C1;0.13;ND;0.38
31;COC(C)C(N)COC1=CC=CC2=C1NC=C2C(=O)C1=CC(O)=CC2=CC=C(F)C(C#C)=C12;4.1;ND;ND
